team,season,total_away_draws_per_season,total_home_draws_per_season,total_away_wins_per_season,total_home_wins_per_season,,,,Home form,,Away form
Chelsea,2009-2010,0,0,9,12,,,,12,,9
Chelsea,2010-2011,1,0,0,12,,,,12,,1
Chelsea,2013-2014,3,0,6,15,,,,15,,9
Chelsea,2016-2017,1,0,3,12,,,,12,,4
Chelsea,2007-2008,2,1,3,12,,,,13,,5
Chelsea,2017-2018,2,1,3,6,,,,7,,5
Chelsea,2006-2007,2,2,3,9,,,,11,,5
Chelsea,2008-2009,0,2,6,3,,,,5,,6
Chelsea,2011-2012,2,2,0,3,,,,5,,2
Chelsea,2014-2015,3,2,3,9,,,,11,,6
Chelsea,2015-2016,3,2,3,3,,,,5,,6
Chelsea,2012-2013,1,3,9,3,,,,6,,10
