team,season,total_away_wins_per_season,total_home_wins_per_season,total_away_draws_per_season,total_home_draws_per_season,,,,Home form,,Away form
Liverpool,2011-2012,6,3,0,3,,,,6,,6
Liverpool,2013-2014,6,12,0,0,,,,12,,6
Liverpool,2006-2007,3,12,1,0,,,,12,,4
Liverpool,2008-2009,9,9,1,2,,,,11,,10
Liverpool,2009-2010,0,6,1,1,,,,7,,1
Liverpool,2010-2011,3,9,1,1,,,,10,,4
Liverpool,2014-2015,3,6,1,1,,,,7,,4
Liverpool,2017-2018,0,6,1,3,,,,9,,1
Liverpool,2015-2016,6,3,2,3,,,,6,,8
Liverpool,2007-2008,3,3,3,3,,,,6,,6
Liverpool,2012-2013,0,3,3,2,,,,5,,3
Liverpool,2016-2017,6,9,3,2,,,,11,,9
