team,season,totaL_away_Wins,totaL_home_Wins,totaL_away_Draws,totaL_home_Draws,,,,Home form,,Away form
Manchester City,2016-2017,12,11,2,7,,,,40,,38
Manchester City,2017-2018,16,16,2,2,,,,50,,50
Manchester City,2006-2007,6,5,3,6,,,,21,,21
Manchester City,2010-2011,8,13,4,4,,,,43,,28
Manchester City,2011-2012,10,18,4,1,,,,55,,34
Manchester City,2013-2014,10,17,4,1,,,,52,,34
Manchester City,2014-2015,10,14,4,3,,,,45,,34
Manchester City,2008-2009,2,13,5,0,,,,39,,11
Manchester City,2007-2008,4,11,6,4,,,,37,,18
Manchester City,2012-2013,9,14,6,3,,,,45,,33
Manchester City,2015-2016,7,12,7,2,,,,38,,28
Manchester City,2009-2010,6,12,9,4,,,,40,,27
