team,season,totaL_away_Wins,totaL_home_Wins,totaL_away_Draws,totaL_home_Draws,,,,Home form,,Away form
Arsenal,2017-2018,4,15,4,2,,,,47,,16
Arsenal,2009-2010,8,15,4,2,,,,47,,28
Arsenal,2016-2017,9,14,3,3,,,,44,,30
Arsenal,2010-2011,8,11,7,4,,,,35,,31
Arsenal,2015-2016,8,12,7,4,,,,38,,31
Arsenal,2011-2012,9,12,3,4,,,,38,,30
Arsenal,2008-2009,9,11,7,5,,,,35,,34
Arsenal,2007-2008,10,14,6,5,,,,44,,36
Arsenal,2012-2013,10,11,5,5,,,,35,,35
Arsenal,2014-2015,10,12,4,5,,,,38,,34
Arsenal,2013-2014,11,13,2,5,,,,41,,35
Arsenal,2006-2007,7,12,5,6,,,,38,,26
