team,season,totaL_away_Wins,totaL_home_Wins,totaL_away_Draws,totaL_home_Draws,,,,Home form,,Away form
Chelsea,2011-2012,6,12,7,3,,,,39,,25
Chelsea,2010-2011,7,14,5,3,,,,45,,26
Chelsea,2015-2016,7,5,5,9,,,,24,,26
Chelsea,2009-2010,10,17,4,1,,,,52,,34
Chelsea,2012-2013,10,12,4,5,,,,41,,34
Chelsea,2013-2014,10,15,4,3,,,,48,,34
Chelsea,2017-2018,10,11,3,4,,,,37,,33
Chelsea,2014-2015,11,15,5,4,,,,49,,38
Chelsea,2006-2007,12,12,4,7,,,,43,,40
Chelsea,2007-2008,13,12,3,7,,,,43,,42
Chelsea,2016-2017,13,17,3,0,,,,51,,42
Chelsea,2008-2009,14,11,2,6,,,,39,,44
