team,season,clean_sheet
Chelsea,2006-2007,22
Liverpool,2006-2007,20
Manchester United,2006-2007,16
Everton,2006-2007,14
Manchester City,2006-2007,14
Reading,2006-2007,13
Aston Villa,2006-2007,13
Arsenal,2006-2007,12
Bolton Wanderers,2006-2007,12
Portsmouth,2006-2007,12
Charlton Athletic,2006-2007,11
Wigan Athletic,2006-2007,10
Middlesbrough,2006-2007,9
West Ham United,2006-2007,9
Watford,2006-2007,9
Sheffield United,2006-2007,9
Blackburn Rovers,2006-2007,8
Newcastle United,2006-2007,7
Fulham,2006-2007,7
Tottenham Hotspur,2006-2007,6
Manchester United,2007-2008,21
Chelsea,2007-2008,21
Liverpool,2007-2008,18
Portsmouth,2007-2008,16
Arsenal,2007-2008,15
Everton,2007-2008,14
Bolton Wanderers,2007-2008,12
Wigan Athletic,2007-2008,12
Manchester City,2007-2008,11
Tottenham Hotspur,2007-2008,9
Aston Villa,2007-2008,9
Newcastle United,2007-2008,8
Middlesbrough,2007-2008,8
Blackburn Rovers,2007-2008,8
Reading,2007-2008,8
West Ham United,2007-2008,8
Sunderland,2007-2008,7
Fulham,2007-2008,7
Birmingham City,2007-2008,3
Derby County,2007-2008,3
Manchester United,2008-2009,24
Chelsea,2008-2009,22
Liverpool,2008-2009,20
Everton,2008-2009,17
Arsenal,2008-2009,16
Fulham,2008-2009,15
Aston Villa,2008-2009,13
Tottenham Hotspur,2008-2009,13
Wigan Athletic,2008-2009,13
Stoke City,2008-2009,12
Blackburn Rovers,2008-2009,10
Manchester City,2008-2009,10
West Ham United,2008-2009,10
Sunderland,2008-2009,9
West Bromwich Albion,2008-2009,8
Portsmouth,2008-2009,8
Middlesbrough,2008-2009,7
Bolton Wanderers,2008-2009,7
Newcastle United,2008-2009,7
Hull City,2008-2009,6
Manchester United,2009-2010,19
Chelsea,2009-2010,18
Liverpool,2009-2010,17
Aston Villa,2009-2010,15
Arsenal,2009-2010,14
Stoke City,2009-2010,14
Blackburn Rovers,2009-2010,13
Tottenham Hotspur,2009-2010,13
Fulham,2009-2010,12
Birmingham City,2009-2010,11
Manchester City,2009-2010,11
Everton,2009-2010,11
Wigan Athletic,2009-2010,8
Wolverhampton Wanderers,2009-2010,8
West Ham United,2009-2010,8
Sunderland,2009-2010,7
Portsmouth,2009-2010,7
Hull City,2009-2010,7
Bolton Wanderers,2009-2010,5
Burnley,2009-2010,3
Manchester City,2010-2011,18
Manchester United,2010-2011,15
Chelsea,2010-2011,15
Liverpool,2010-2011,14
Fulham,2010-2011,14
Sunderland,2010-2011,13
Arsenal,2010-2011,13
Everton,2010-2011,9
Newcastle United,2010-2011,9
Birmingham City,2010-2011,9
Stoke City,2010-2011,9
Blackburn Rovers,2010-2011,8
Tottenham Hotspur,2010-2011,8
Aston Villa,2010-2011,7
Wigan Athletic,2010-2011,7
Blackpool,2010-2011,6
Wolverhampton Wanderers,2010-2011,5
West Ham United,2010-2011,5
Bolton Wanderers,2010-2011,5
West Bromwich Albion,2010-2011,2
Manchester United,2011-2012,20
Manchester City,2011-2012,17
Newcastle United,2011-2012,15
Tottenham Hotspur,2011-2012,14
Swansea City,2011-2012,14
Arsenal,2011-2012,13
Liverpool,2011-2012,12
Sunderland,2011-2012,12
Everton,2011-2012,12
