team,season,total_away_wins_per_season,total_home_wins_per_season,total_away_draws_per_season,total_home_draws_per_season,,,,Home form,,Away form
Manchester United,2009-2010,9,12,0,0,,,,12,,9
Manchester United,2006-2007,9,9,1,1,,,,10,,10
Manchester United,2014-2015,6,9,1,2,,,,11,,7
Manchester United,2015-2016,6,9,1,2,,,,11,,7
Manchester United,2017-2018,6,12,1,0,,,,12,,7
Manchester United,2007-2008,3,12,2,0,,,,12,,5
Manchester United,2008-2009,3,9,2,1,,,,10,,5
Manchester United,2010-2011,0,15,2,0,,,,15,,2
Manchester United,2011-2012,6,12,2,0,,,,12,,8
Manchester United,2012-2013,9,6,2,0,,,,6,,11
Manchester United,2013-2014,0,3,2,1,,,,4,,2
Manchester United,2016-2017,0,6,2,2,,,,8,,2
