team,season,goals,goals_conceded,Goal_Difference
Manchester United,2006-2007,83,27,56
Chelsea,2006-2007,64,24,40
Liverpool,2006-2007,57,27,30
Arsenal,2006-2007,63,35,28
Everton,2006-2007,52,36,16
Reading,2006-2007,52,47,5
Tottenham Hotspur,2006-2007,57,54,3
Portsmouth,2006-2007,45,42,3
Aston Villa,2006-2007,43,41,2
Blackburn Rovers,2006-2007,52,54,-2
Middlesbrough,2006-2007,44,49,-5
Bolton Wanderers,2006-2007,47,52,-5
Newcastle United,2006-2007,38,47,-9
Manchester City,2006-2007,29,44,-15
Fulham,2006-2007,38,60,-22
Wigan Athletic,2006-2007,37,59,-22
Sheffield United,2006-2007,32,55,-23
West Ham United,2006-2007,35,59,-24
Charlton Athletic,2006-2007,34,60,-26
Watford,2006-2007,29,59,-30
Manchester United,2007-2008,80,22,58
Arsenal,2007-2008,74,31,43
Chelsea,2007-2008,65,26,39
Liverpool,2007-2008,67,28,39
Everton,2007-2008,55,33,22
Aston Villa,2007-2008,71,51,20
Portsmouth,2007-2008,48,40,8
Tottenham Hotspur,2007-2008,66,61,5
Blackburn Rovers,2007-2008,50,48,2
Manchester City,2007-2008,45,53,-8
West Ham United,2007-2008,42,50,-8
Middlesbrough,2007-2008,43,53,-10
Birmingham City,2007-2008,46,62,-16
Wigan Athletic,2007-2008,34,51,-17
Bolton Wanderers,2007-2008,36,54,-18
Newcastle United,2007-2008,45,65,-20
Fulham,2007-2008,38,60,-22
Sunderland,2007-2008,36,59,-23
Reading,2007-2008,41,66,-25
Derby County,2007-2008,20,89,-69
Liverpool,2008-2009,77,27,50
Manchester United,2008-2009,68,24,44
Chelsea,2008-2009,68,24,44
Arsenal,2008-2009,68,37,31
Everton,2008-2009,55,37,18
Manchester City,2008-2009,58,50,8
Aston Villa,2008-2009,54,48,6
Fulham,2008-2009,39,34,5
Tottenham Hotspur,2008-2009,45,45,0
West Ham United,2008-2009,42,45,-3
Wigan Athletic,2008-2009,34,45,-11
Bolton Wanderers,2008-2009,41,53,-12
Stoke City,2008-2009,38,55,-17
Portsmouth,2008-2009,38,57,-19
Newcastle United,2008-2009,40,59,-19
Blackburn Rovers,2008-2009,40,60,-20
Sunderland,2008-2009,34,54,-20
Hull City,2008-2009,39,64,-25
Middlesbrough,2008-2009,28,57,-29
West Bromwich Albion,2008-2009,36,67,-31
Chelsea,2009-2010,103,32,71
Manchester United,2009-2010,86,28,58
Arsenal,2009-2010,83,41,42
Manchester City,2009-2010,73,45,28
Liverpool,2009-2010,61,35,26
Tottenham Hotspur,2009-2010,67,41,26
Aston Villa,2009-2010,52,39,13
Everton,2009-2010,60,49,11
Fulham,2009-2010,39,46,-7
Sunderland,2009-2010,48,56,-8
Birmingham City,2009-2010,38,47,-9
Blackburn Rovers,2009-2010,41,55,-14
Stoke City,2009-2010,34,48,-14
West Ham United,2009-2010,47,66,-19
Wolverhampton Wanderers,2009-2010,32,56,-24
Bolton Wanderers,2009-2010,42,67,-25
Portsmouth,2009-2010,34,66,-32
Burnley,2009-2010,42,82,-40
Hull City,2009-2010,34,75,-41
Wigan Athletic,2009-2010,37,79,-42
Manchester United,2010-2011,78,37,41
Chelsea,2010-2011,69,33,36
Arsenal,2010-2011,72,43,29
Manchester City,2010-2011,60,33,27
Liverpool,2010-2011,59,44,15
Tottenham Hotspur,2010-2011,55,46,9
Everton,2010-2011,51,45,6
Fulham,2010-2011,49,43,6
Newcastle United,2010-2011,56,57,-1
Stoke City,2010-2011,46,48,-2
Bolton Wanderers,2010-2011,52,56,-4
Aston Villa,2010-2011,48,59,-11
Sunderland,2010-2011,45,56,-11
Blackburn Rovers,2010-2011,46,59,-13
West Bromwich Albion,2010-2011,56,71,-15
Wolverhampton Wanderers,2010-2011,46,66,-20
Wigan Athletic,2010-2011,40,61,-21
Birmingham City,2010-2011,37,58,-21
Blackpool,2010-2011,55,78,-23
West Ham United,2010-2011,43,70,-27
Manchester City,2011-2012,93,29,64
Manchester United,2011-2012,89,33,56
Tottenham Hotspur,2011-2012,66,41,25
Arsenal,2011-2012,74,49,25
Chelsea,2011-2012,65,46,19
Everton,2011-2012,50,40,10
Liverpool,2011-2012,47,40,7
Newcastle United,2011-2012,56,51,5
Sunderland,2011-2012,45,46,-1
Fulham,2011-2012,48,51,-3
West Bromwich Albion,2011-2012,45,52,-7
Swansea City,2011-2012,44,51,-7
Norwich City,2011-2012,52,66,-14
Aston Villa,2011-2012,37,53,-16
Stoke City,2011-2012,36,53,-17
Wigan Athletic,2011-2012,42,62,-20
Queens Park Rangers,2011-2012,43,66,-23
Blackburn Rovers,2011-2012,48,78,-30
Bolton Wanderers,2011-2012,46,77,-31
