team,season,totaL_away_Wins,totaL_home_Wins,totaL_away_Draws,totaL_home_Draws,,,,Home form,,Away form
Liverpool,2013-2014,10,16,5,1,,,,49,,35
Liverpool,2009-2010,5,13,6,3,,,,42,,21
Liverpool,2010-2011,5,12,3,4,,,,40,,18
Liverpool,2006-2007,6,14,4,4,,,,46,,22
Liverpool,2014-2015,8,10,3,5,,,,35,,27
Liverpool,2016-2017,10,12,5,5,,,,41,,35
Liverpool,2012-2013,7,9,7,6,,,,33,,28
Liverpool,2007-2008,9,12,7,6,,,,42,,34
Liverpool,2017-2018,9,12,5,7,,,,43,,32
Liverpool,2008-2009,13,12,4,7,,,,43,,43
Liverpool,2015-2016,8,8,4,8,,,,32,,28
Liverpool,2011-2012,8,6,1,9,,,,27,,25
