team,season,totaL_away_Wins,totaL_home_Wins,totaL_away_Draws,totaL_home_Draws,,,,Home form,,Away form
Manchester United,2016-2017,10,8,5,10,,,,34,,35
Manchester United,2013-2014,10,9,4,3,,,,30,,34
Manchester United,2015-2016,7,12,4,5,,,,41,,25
Manchester United,2014-2015,6,14,8,2,,,,44,,26
Manchester United,2006-2007,13,15,3,2,,,,47,,42
Manchester United,2011-2012,13,15,3,2,,,,47,,42
Manchester United,2017-2018,10,15,4,2,,,,47,,34
Manchester United,2008-2009,12,16,4,2,,,,50,,40
Manchester United,2009-2010,11,16,3,1,,,,49,,36
Manchester United,2012-2013,12,16,5,0,,,,48,,41
Manchester United,2007-2008,10,17,5,1,,,,52,,35
Manchester United,2010-2011,5,18,10,1,,,,55,,25
