team,season,total_pass
Manchester United,2006-2007,18723
Arsenal,2006-2007,18458
Liverpool,2006-2007,17154
Chelsea,2006-2007,16759
Tottenham Hotspur,2006-2007,14914
Newcastle United,2006-2007,14628
Blackburn Rovers,2006-2007,14033
Aston Villa,2006-2007,13254
West Ham United,2006-2007,13178
Middlesbrough,2006-2007,12779
Manchester City,2006-2007,12765
Charlton Athletic,2006-2007,12722
Portsmouth,2006-2007,12616
Bolton Wanderers,2006-2007,12400
Everton,2006-2007,12274
Fulham,2006-2007,11820
Wigan Athletic,2006-2007,11353
Reading,2006-2007,11232
Sheffield United,2006-2007,11123
Watford,2006-2007,10175
Arsenal,2007-2008,18831
Manchester United,2007-2008,17422
Chelsea,2007-2008,17252
Liverpool,2007-2008,16360
Tottenham Hotspur,2007-2008,15466
Manchester City,2007-2008,15149
Newcastle United,2007-2008,13947
West Ham United,2007-2008,13773
Blackburn Rovers,2007-2008,13650
Portsmouth,2007-2008,12794
Sunderland,2007-2008,12727
Fulham,2007-2008,12576
Everton,2007-2008,12397
Middlesbrough,2007-2008,12200
Bolton Wanderers,2007-2008,11854
Derby County,2007-2008,11739
Wigan Athletic,2007-2008,11684
Aston Villa,2007-2008,11438
Birmingham City,2007-2008,10630
Reading,2007-2008,10431
Chelsea,2008-2009,19923
Liverpool,2008-2009,19505
Manchester United,2008-2009,19416
Arsenal,2008-2009,18991
Fulham,2008-2009,16100
Manchester City,2008-2009,15971
Tottenham Hotspur,2008-2009,15723
West Ham United,2008-2009,15316
Everton,2008-2009,15024
West Bromwich Albion,2008-2009,14518
Portsmouth,2008-2009,14497
Newcastle United,2008-2009,14172
Sunderland,2008-2009,14144
Blackburn Rovers,2008-2009,13436
Middlesbrough,2008-2009,13124
Aston Villa,2008-2009,12419
Wigan Athletic,2008-2009,12319
Hull City,2008-2009,11809
Bolton Wanderers,2008-2009,10649
Stoke City,2008-2009,9478
Manchester United,2009-2010,19318
Arsenal,2009-2010,19291
Chelsea,2009-2010,18852
Liverpool,2009-2010,18575
Fulham,2009-2010,16505
Manchester City,2009-2010,16323
Tottenham Hotspur,2009-2010,15474
Everton,2009-2010,14832
Wigan Athletic,2009-2010,14753
West Ham United,2009-2010,14616
Burnley,2009-2010,13591
Birmingham City,2009-2010,13540
Portsmouth,2009-2010,13509
Aston Villa,2009-2010,13127
Wolverhampton Wanderers,2009-2010,13020
Sunderland,2009-2010,12489
Blackburn Rovers,2009-2010,11792
Hull City,2009-2010,11731
Bolton Wanderers,2009-2010,11404
Stoke City,2009-2010,10307
Arsenal,2010-2011,20150
Chelsea,2010-2011,19236
Manchester United,2010-2011,18870
Manchester City,2010-2011,17768
Tottenham Hotspur,2010-2011,16791
Liverpool,2010-2011,16728
Fulham,2010-2011,16345
Wigan Athletic,2010-2011,15180
Blackpool,2010-2011,15113
Wolverhampton Wanderers,2010-2011,14823
Aston Villa,2010-2011,14611
Everton,2010-2011,14371
West Bromwich Albion,2010-2011,14252
Newcastle United,2010-2011,14194
Sunderland,2010-2011,14166
Birmingham City,2010-2011,14036
West Ham United,2010-2011,13367
Bolton Wanderers,2010-2011,12704
Blackburn Rovers,2010-2011,11178
Stoke City,2010-2011,10349
Manchester City,2011-2012,20863
Swansea City,2011-2012,20795
Arsenal,2011-2012,20599
Manchester United,2011-2012,20184
Tottenham Hotspur,2011-2012,19564
Liverpool,2011-2012,18797
Chelsea,2011-2012,18766
Fulham,2011-2012,17669
Wigan Athletic,2011-2012,15715
Norwich City,2011-2012,15165
Everton,2011-2012,15063
Wolverhampton Wanderers,2011-2012,14860
