team,season,total_scoring_attempt
Manchester United,2006-2007,698
Liverpool,2006-2007,668
Arsenal,2006-2007,638
Chelsea,2006-2007,636
Portsmouth,2006-2007,525
Tottenham Hotspur,2006-2007,520
Sheffield United,2006-2007,483
Blackburn Rovers,2006-2007,478
Wigan Athletic,2006-2007,474
Aston Villa,2006-2007,470
Everton,2006-2007,465
West Ham United,2006-2007,461
Middlesbrough,2006-2007,454
Newcastle United,2006-2007,454
Manchester City,2006-2007,454
Fulham,2006-2007,451
Reading,2006-2007,419
Watford,2006-2007,418
Charlton Athletic,2006-2007,418
Bolton Wanderers,2006-2007,404
Manchester United,2007-2008,696
Liverpool,2007-2008,686
Arsenal,2007-2008,627
Chelsea,2007-2008,605
Portsmouth,2007-2008,559
Tottenham Hotspur,2007-2008,555
Blackburn Rovers,2007-2008,530
Aston Villa,2007-2008,511
West Ham United,2007-2008,500
Middlesbrough,2007-2008,499
Wigan Athletic,2007-2008,489
Sunderland,2007-2008,483
Newcastle United,2007-2008,481
Everton,2007-2008,474
Fulham,2007-2008,469
Bolton Wanderers,2007-2008,451
Reading,2007-2008,441
Manchester City,2007-2008,423
Birmingham City,2007-2008,414
Derby County,2007-2008,376
Chelsea,2008-2009,797
Liverpool,2008-2009,736
Manchester United,2008-2009,715
Arsenal,2008-2009,662
Wigan Athletic,2008-2009,590
Manchester City,2008-2009,572
West Bromwich Albion,2008-2009,559
Tottenham Hotspur,2008-2009,544
West Ham United,2008-2009,515
Fulham,2008-2009,511
Portsmouth,2008-2009,500
Middlesbrough,2008-2009,498
Everton,2008-2009,496
Bolton Wanderers,2008-2009,488
Hull City,2008-2009,476
Blackburn Rovers,2008-2009,473
Sunderland,2008-2009,473
Aston Villa,2008-2009,472
Newcastle United,2008-2009,444
Stoke City,2008-2009,364
Chelsea,2009-2010,834
Manchester United,2009-2010,695
Tottenham Hotspur,2009-2010,681
Arsenal,2009-2010,660
Liverpool,2009-2010,642
Everton,2009-2010,589
Bolton Wanderers,2009-2010,558
Wigan Athletic,2009-2010,555
West Ham United,2009-2010,549
Portsmouth,2009-2010,533
Manchester City,2009-2010,526
Aston Villa,2009-2010,497
Blackburn Rovers,2009-2010,489
Fulham,2009-2010,463
Burnley,2009-2010,459
Birmingham City,2009-2010,452
Sunderland,2009-2010,444
Wolverhampton Wanderers,2009-2010,436
Stoke City,2009-2010,402
Hull City,2009-2010,388
Chelsea,2010-2011,745
Tottenham Hotspur,2010-2011,657
Arsenal,2010-2011,654
Manchester United,2010-2011,618
